date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:26:06	46844/46844	---MCZ	200	added ('OK')	text/html	date:Thu,%2002%20Dec%202021%2004:26:06%20GMT	https://prague.foxthemes.me/minimal-slider/	C:/My%20Web%20Sites/project-architecture2/prague.foxthemes.me/minimal-slider/index.html	(from )
11:26:06	115/115	---M-Z	200	added ('OK')	text/plain	date:Thu,%2002%20Dec%202021%2004:26:06%20GMT	https://prague.foxthemes.me/robots.txt		(from )
11:26:07	84290/84290	---M-Z	200	added ('OK')	text/css	etag:%2214942-6130d545-66ae14;gz%22	https://prague.foxthemes.me/wp-content/plugins/formidable/css/formidableforms.css?ver=92638	C:/My%20Web%20Sites/project-architecture2/prague.foxthemes.me/wp-content/plugins/formidable/css/formidableforms9050.css	(from https://prague.foxthemes.me/minimal-slider/)
11:26:08	80574/80574	---M-Z	200	added ('OK')	text/css	etag:%2213abe-6130d55d-6a61c7;gz%22	https://prague.foxthemes.me/wp-includes/css/dist/block-library/style.min.css?ver=5.8.2	C:/My%20Web%20Sites/project-architecture2/prague.foxthemes.me/wp-includes/css/dist/block-library/style.min080f.css	(from https://prague.foxthemes.me/minimal-slider/)
11:26:09	2967/2967	---M-Z	200	added ('OK')	text/css	etag:%22b97-6130d54e-66cd13;gz%22	https://prague.foxthemes.me/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/vendors-style.css?ver=3.1.0	C:/My%20Web%20Sites/project-architecture2/prague.foxthemes.me/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/vendors-style324d.css	(from https://prague.foxthemes.me/minimal-slider/)
11:26:10	155284/155284	---M-Z	200	added ('OK')	text/css	etag:%2225e94-6130d54e-66cd0e;gz%22	https://prague.foxthemes.me/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/style.css?ver=3.1.0	C:/My%20Web%20Sites/project-architecture2/prague.foxthemes.me/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/style324d.css	(from https://prague.foxthemes.me/minimal-slider/)
11:26:10	39750/39750	---M-Z	200	added ('OK')	text/css	etag:%229b46-6130d54b-66c0e6;gz%22	https://prague.foxthemes.me/wp-content/plugins/revslider/public/assets/css/settings.css?ver=5.4.8	C:/My%20Web%20Sites/project-architecture2/prague.foxthemes.me/wp-content/plugins/revslider/public/assets/css/settings23da.css	(from https://prague.foxthemes.me/minimal-slider/)
11:26:11	17639/17639	---M-Z	200	added ('OK')	text/css	etag:%2244e7-6130d54c-66c2ef;gz%22	https://prague.foxthemes.me/wp-content/plugins/woocommerce/assets/css/woocommerce-layout.css?ver=4.4.1	C:/My%20Web%20Sites/project-architecture2/prague.foxthemes.me/wp-content/plugins/woocommerce/assets/css/woocommerce-layouta94e.css	(from https://prague.foxthemes.me/minimal-slider/)
11:26:12	6758/6758	---M-Z	200	added ('OK')	text/css	etag:%221a66-6130d54c-66c2f3;gz%22	https://prague.foxthemes.me/wp-content/plugins/woocommerce/assets/css/woocommerce-smallscreen.css?ver=4.4.1	C:/My%20Web%20Sites/project-architecture2/prague.foxthemes.me/wp-content/plugins/woocommerce/assets/css/woocommerce-smallscreena94e.css	(from https://prague.foxthemes.me/minimal-slider/)
11:26:13	62511/62511	---M-Z	200	added ('OK')	text/css	etag:%22f42f-6130d54c-66c2f5;gz%22	https://prague.foxthemes.me/wp-content/plugins/woocommerce/assets/css/woocommerce.css?ver=4.4.1	C:/My%20Web%20Sites/project-architecture2/prague.foxthemes.me/wp-content/plugins/woocommerce/assets/css/woocommercea94e.css	(from https://prague.foxthemes.me/minimal-slider/)
11:26:14	17459/17459	---M-Z	200	added ('OK')	text/css	etag:%224433-6130d551-66d442;gz%22	https://prague.foxthemes.me/wp-content/themes/prague/assets/css/swiper.min.css?ver=2.3.1	C:/My%20Web%20Sites/project-architecture2/prague.foxthemes.me/wp-content/themes/prague/assets/css/swiper.min254d.css	(from https://prague.foxthemes.me/minimal-slider/)
11:26:15	1292/1292	---M-Z	200	added ('OK')	text/css	etag:%2250c-6130d551-66d43c;gz%22	https://prague.foxthemes.me/wp-content/themes/prague/assets/css/slick.min.css?ver=2.3.1	C:/My%20Web%20Sites/project-architecture2/prague.foxthemes.me/wp-content/themes/prague/assets/css/slick.min254d.css	(from https://prague.foxthemes.me/minimal-slider/)
11:26:17	93489/93489	---M-Z	200	added ('OK')	text/css	etag:%2216d31-6130d551-66d43b;gz%22	https://prague.foxthemes.me/wp-content/themes/prague/assets/css/owlcarousel.css?ver=2.3.1	C:/My%20Web%20Sites/project-architecture2/prague.foxthemes.me/wp-content/themes/prague/assets/css/owlcarousel254d.css	(from https://prague.foxthemes.me/minimal-slider/)
11:26:18	7302/7302	---M-Z	200	added ('OK')	text/css	etag:%221c86-6130d551-66d43a;gz%22	https://prague.foxthemes.me/wp-content/themes/prague/assets/css/magnific-popup.css?ver=2.3.1	C:/My%20Web%20Sites/project-architecture2/prague.foxthemes.me/wp-content/themes/prague/assets/css/magnific-popup254d.css	(from https://prague.foxthemes.me/minimal-slider/)
11:26:19	587/587	---M-Z	200	added ('OK')	text/css	etag:%2224b-6130d551-66d494;gz%22	https://prague.foxthemes.me/wp-content/themes/prague/style.css?ver=2.3.1	C:/My%20Web%20Sites/project-architecture2/prague.foxthemes.me/wp-content/themes/prague/style254d.css	(from https://prague.foxthemes.me/minimal-slider/)
11:26:20	31004/31004	---M-Z	200	added ('OK')	text/css	etag:%22791c-6130d551-66d432;gz%22	https://prague.foxthemes.me/wp-content/themes/prague/assets/css/font-awesome.min.css?ver=2.3.1	C:/My%20Web%20Sites/project-architecture2/prague.foxthemes.me/wp-content/themes/prague/assets/css/font-awesome.min254d.css	(from https://prague.foxthemes.me/minimal-slider/)
11:26:20	51295/51295	---M-Z	200	added ('OK')	text/css	etag:%22c85f-6130d551-66d439;gz%22	https://prague.foxthemes.me/wp-content/themes/prague/assets/css/ionicons.min.css?ver=2.3.1	C:/My%20Web%20Sites/project-architecture2/prague.foxthemes.me/wp-content/themes/prague/assets/css/ionicons.min254d.css	(from https://prague.foxthemes.me/minimal-slider/)
11:26:21	7410/7410	---M-Z	200	added ('OK')	text/css	etag:%221cf2-6130d551-66d431;gz%22	https://prague.foxthemes.me/wp-content/themes/prague/assets/css/et-line-font.css?ver=2.3.1	C:/My%20Web%20Sites/project-architecture2/prague.foxthemes.me/wp-content/themes/prague/assets/css/et-line-font254d.css	(from https://prague.foxthemes.me/minimal-slider/)
11:26:22	796/796	---M-Z	200	added ('OK')	text/css	etag:%2231c-6130d551-66d42e;gz%22	https://prague.foxthemes.me/wp-content/themes/prague/assets/css/before-after.min.css?ver=2.3.1	C:/My%20Web%20Sites/project-architecture2/prague.foxthemes.me/wp-content/themes/prague/assets/css/before-after.min254d.css	(from https://prague.foxthemes.me/minimal-slider/)
11:26:23	117539/117539	---M-Z	200	added ('OK')	text/css	etag:%221cb23-6130d551-66d42f;gz%22	https://prague.foxthemes.me/wp-content/themes/prague/assets/css/bootstrap.min.css?ver=2.3.1	C:/My%20Web%20Sites/project-architecture2/prague.foxthemes.me/wp-content/themes/prague/assets/css/bootstrap.min254d.css	(from https://prague.foxthemes.me/minimal-slider/)
11:26:24	8828/8828	---M-Z	200	added ('OK')	text/css	etag:%22227c-6130d551-66d443;gz%22	https://prague.foxthemes.me/wp-content/themes/prague/assets/css/unit-test.css?ver=2.3.1	C:/My%20Web%20Sites/project-architecture2/prague.foxthemes.me/wp-content/themes/prague/assets/css/unit-test254d.css	(from https://prague.foxthemes.me/minimal-slider/)
11:26:25	402016/402016	---M-Z	200	added ('OK')	text/css	etag:%2262260-6130d551-66d43f;gz%22	https://prague.foxthemes.me/wp-content/themes/prague/assets/css/style.min.css?ver=2.3.1	C:/My%20Web%20Sites/project-architecture2/prague.foxthemes.me/wp-content/themes/prague/assets/css/style.min254d.css	(from https://prague.foxthemes.me/minimal-slider/)
11:26:26	484758/484758	---M-Z	200	added ('OK')	text/css	etag:%2276596-6130d545-66aea9;gz%22	https://prague.foxthemes.me/wp-content/plugins/js_composer/assets/css/js_composer.min.css?ver=5.7	C:/My%20Web%20Sites/project-architecture2/prague.foxthemes.me/wp-content/plugins/js_composer/assets/css/js_composer.mine23c.css	(from https://prague.foxthemes.me/minimal-slider/)
11:26:27	43866/43866	---M-Z	200	added ('OK')	text/css	etag:%22ab5a-6130d54b-66c190;gz%22	https://prague.foxthemes.me/wp-content/plugins/the-grid/frontend/assets/css/the-grid.min.css?ver=2.7.1	C:/My%20Web%20Sites/project-architecture2/prague.foxthemes.me/wp-content/plugins/the-grid/frontend/assets/css/the-grid.min653d.css	(from https://prague.foxthemes.me/minimal-slider/)
11:26:28	89521/89521	---M-Z	200	added ('OK')	application/x-javascript	etag:%2215db1-6130d55e-6a6342;gz%22	https://prague.foxthemes.me/wp-includes/js/jquery/jquery.min.js?ver=3.6.0	C:/My%20Web%20Sites/project-architecture2/prague.foxthemes.me/wp-includes/js/jquery/jquery.minaf6c.js	(from https://prague.foxthemes.me/minimal-slider/)
11:26:29	11224/11224	---M-Z	200	added ('OK')	application/x-javascript	etag:%222bd8-6130d55e-6a633a;gz%22	https://prague.foxthemes.me/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.3.2	C:/My%20Web%20Sites/project-architecture2/prague.foxthemes.me/wp-includes/js/jquery/jquery-migrate.mind617.js	(from https://prague.foxthemes.me/minimal-slider/)
11:26:30	110564/110564	---M-Z	200	added ('OK')	application/x-javascript	etag:%221afe4-6130d54b-66c126;gz%22	https://prague.foxthemes.me/wp-content/plugins/revslider/public/assets/js/jquery.themepunch.tools.min.js?ver=5.4.8	C:/My%20Web%20Sites/project-architecture2/prague.foxthemes.me/wp-content/plugins/revslider/public/assets/js/jquery.themepunch.tools.min23da.js	(from https://prague.foxthemes.me/minimal-slider/)
11:26:31	64949/64949	---M-Z	200	added ('OK')	application/x-javascript	etag:%22fdb5-6130d54b-66c125;gz%22	https://prague.foxthemes.me/wp-content/plugins/revslider/public/assets/js/jquery.themepunch.revolution.min.js?ver=5.4.8	C:/My%20Web%20Sites/project-architecture2/prague.foxthemes.me/wp-content/plugins/revslider/public/assets/js/jquery.themepunch.revolution.min23da.js	(from https://prague.foxthemes.me/minimal-slider/)
11:26:31	9566/9566	---M-Z	200	added ('OK')	application/x-javascript	etag:%22255e-6130d54c-66c399;gz%22	https://prague.foxthemes.me/wp-content/plugins/woocommerce/assets/js/jquery-blockui/jquery.blockUI.min.js?ver=2.70	C:/My%20Web%20Sites/project-architecture2/prague.foxthemes.me/wp-content/plugins/woocommerce/assets/js/jquery-blockui/jquery.blockUI.min44fd.js	(from https://prague.foxthemes.me/minimal-slider/)
11:26:32	3038/3038	---M-Z	200	added ('OK')	application/x-javascript	etag:%22bde-6130d54c-66c37c;gz%22	https://prague.foxthemes.me/wp-content/plugins/woocommerce/assets/js/frontend/add-to-cart.min.js?ver=4.4.1	C:/My%20Web%20Sites/project-architecture2/prague.foxthemes.me/wp-content/plugins/woocommerce/assets/js/frontend/add-to-cart.mina94e.js	(from https://prague.foxthemes.me/minimal-slider/)
11:26:33	895/895	---M-Z	200	added ('OK')	application/x-javascript	etag:%2237f-6130d545-66af71;gz%22	https://prague.foxthemes.me/wp-content/plugins/js_composer/assets/js/vendors/woocommerce-add-to-cart.js?ver=5.7	C:/My%20Web%20Sites/project-architecture2/prague.foxthemes.me/wp-content/plugins/js_composer/assets/js/vendors/woocommerce-add-to-carte23c.js	(from https://prague.foxthemes.me/minimal-slider/)
11:26:33	39205/39205	---MCZ	200	added ('OK')	text/javascript	date:Thu,%2002%20Dec%202021%2004:26:33%20GMT	https://prague.foxthemes.me/cdn-cgi/challenge-platform/h/b/scripts/invisible.js	C:/My%20Web%20Sites/project-architecture2/prague.foxthemes.me/cdn-cgi/challenge-platform/h/b/scripts/invisible.js	(from https://prague.foxthemes.me/minimal-slider/)
11:26:34	2339/2339	---M--	200	added ('OK')	image/png	etag:%22923-6130d554-66dcca;;;%22	https://prague.foxthemes.me/wp-content/uploads/2017/03/logo-dark.png	C:/My%20Web%20Sites/project-architecture2/prague.foxthemes.me/wp-content/uploads/2017/03/logo-dark.png	(from https://prague.foxthemes.me/minimal-slider/)
11:26:36	715374/715374	---M--	200	added ('OK')	image/jpeg	etag:%22aea6e-6130d554-66db5d;;;%22	https://prague.foxthemes.me/wp-content/uploads/2017/02/b03d4b46193843.584add9cde86f.jpg	C:/My%20Web%20Sites/project-architecture2/prague.foxthemes.me/wp-content/uploads/2017/02/b03d4b46193843.584add9cde86f.jpg	(from https://prague.foxthemes.me/minimal-slider/)
11:26:38	841946/841946	---M--	200	added ('OK')	image/jpeg	etag:%22cd8da-6130d553-66db02;;;%22	https://prague.foxthemes.me/wp-content/uploads/2017/02/9e4a0546193843.584add9cdc23f.jpg	C:/My%20Web%20Sites/project-architecture2/prague.foxthemes.me/wp-content/uploads/2017/02/9e4a0546193843.584add9cdc23f.jpg	(from https://prague.foxthemes.me/minimal-slider/)
11:26:41	747297/747297	---M--	200	added ('OK')	image/jpeg	etag:%22b6721-6130d553-66da32;;;%22	https://prague.foxthemes.me/wp-content/uploads/2017/02/2518c145492213.58asasd330774816c9.jpg	C:/My%20Web%20Sites/project-architecture2/prague.foxthemes.me/wp-content/uploads/2017/02/2518c145492213.58asasd330774816c9.jpg	(from https://prague.foxthemes.me/minimal-slider/)
