date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:28:22	25067/25067	---M-Z	200	added ('OK')	text/html	date:Sun,%2019%20Sep%202021%2020:57:06%20GMT	http://duruthemes.com/demo/html/savoye/multipage-dark/index.html	C:/My%20Web%20Sites/project-dark-architecture/duruthemes.com/demo/html/savoye/multipage-dark/index.html	(from )
16:28:22	1238/1238	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2030%20Nov%202021%2009:28:23%20GMT	http://duruthemes.com/robots.txt		(from )
16:28:23	272/272	---M--	200	added ('OK')	image/png	date:Sun,%2019%20Sep%202021%2019:28:58%20GMT	http://duruthemes.com/demo/html/savoye/multipage-dark/img/favicon.png	C:/My%20Web%20Sites/project-dark-architecture/duruthemes.com/demo/html/savoye/multipage-dark/img/favicon.png	(from http://duruthemes.com/demo/html/savoye/multipage-dark/index.html)
16:28:23	637/637	---M-Z	200	added ('OK')	text/css	date:Sun,%2019%20Sep%202021%2019:28:54%20GMT	http://duruthemes.com/demo/html/savoye/multipage-dark/css/plugins.css	C:/My%20Web%20Sites/project-dark-architecture/duruthemes.com/demo/html/savoye/multipage-dark/css/plugins.css	(from http://duruthemes.com/demo/html/savoye/multipage-dark/index.html)
16:28:23	81120/81120	---M-Z	200	added ('OK')	text/css	date:Sun,%2019%20Sep%202021%2019:28:54%20GMT	http://duruthemes.com/demo/html/savoye/multipage-dark/css/style.css	C:/My%20Web%20Sites/project-dark-architecture/duruthemes.com/demo/html/savoye/multipage-dark/css/style.css	(from http://duruthemes.com/demo/html/savoye/multipage-dark/index.html)
16:28:24	22232/22232	---M-Z	200	added ('OK')	text/html	date:Sun,%2019%20Sep%202021%2020:57:53%20GMT	http://duruthemes.com/demo/html/savoye/multipage-dark/about.html	C:/My%20Web%20Sites/project-dark-architecture/duruthemes.com/demo/html/savoye/multipage-dark/about.html	(from http://duruthemes.com/demo/html/savoye/multipage-dark/index.html)
16:28:25	16350/16350	---M--	200	added ('OK')	image/png	date:Sun,%2019%20Sep%202021%2019:28:58%20GMT	http://duruthemes.com/demo/html/savoye/multipage-dark/img/logo-light.png	C:/My%20Web%20Sites/project-dark-architecture/duruthemes.com/demo/html/savoye/multipage-dark/img/logo-light.png	(from http://duruthemes.com/demo/html/savoye/multipage-dark/index.html)
16:28:25	18077/18077	---M-Z	200	added ('OK')	text/html	date:Sun,%2019%20Sep%202021%2020:56:22%20GMT	http://duruthemes.com/demo/html/savoye/multipage-dark/services.html	C:/My%20Web%20Sites/project-dark-architecture/duruthemes.com/demo/html/savoye/multipage-dark/services.html	(from http://duruthemes.com/demo/html/savoye/multipage-dark/index.html)
16:28:25	13988/13988	---M-Z	200	added ('OK')	text/html	date:Sun,%2019%20Sep%202021%2020:56:28%20GMT	http://duruthemes.com/demo/html/savoye/multipage-dark/projects.html	C:/My%20Web%20Sites/project-dark-architecture/duruthemes.com/demo/html/savoye/multipage-dark/projects.html	(from http://duruthemes.com/demo/html/savoye/multipage-dark/index.html)
16:28:25	16485/16485	---M-Z	200	added ('OK')	text/html	date:Sun,%2019%20Sep%202021%2020:56:25%20GMT	http://duruthemes.com/demo/html/savoye/multipage-dark/projects2.html	C:/My%20Web%20Sites/project-dark-architecture/duruthemes.com/demo/html/savoye/multipage-dark/projects2.html	(from http://duruthemes.com/demo/html/savoye/multipage-dark/index.html)
