date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:28:35	34620/34620	---MCZ	200	added ('OK')	text/html	etag:W/%225953aa1c-873c%22	http://balkon.kwst.net/site/light/index4.html	C:/My%20Web%20Sites/project-slideshow/balkon.kwst.net/site/light/index4.html	(from )
15:28:35	3785/3785	---MC-	424	error ('Failed%20Dependency')	text/html	date:Tue,%2030%20Nov%202021%2008:28:36%20GMT	http://balkon.kwst.net/robots.txt		(from )
15:28:36	1107/1107	---M--	200	added ('OK')	text/css	etag:%225825bc44-453%22	http://balkon.kwst.net/site/light/css/reset.css	C:/My%20Web%20Sites/project-slideshow/balkon.kwst.net/site/light/css/reset.css	(from http://balkon.kwst.net/site/light/index4.html)
15:28:36	80604/80604	---MCZ	200	added ('OK')	text/css	etag:W/%22594fc0bc-13adc%22	http://balkon.kwst.net/site/light/css/plugins.css	C:/My%20Web%20Sites/project-slideshow/balkon.kwst.net/site/light/css/plugins.css	(from http://balkon.kwst.net/site/light/index4.html)
15:28:37	82414/82414	---MCZ	200	added ('OK')	text/css	etag:W/%225afe7fde-141ee%22	http://balkon.kwst.net/site/light/css/style.css	C:/My%20Web%20Sites/project-slideshow/balkon.kwst.net/site/light/css/style.css	(from http://balkon.kwst.net/site/light/index4.html)
15:28:37	454/454	---M--	200	added ('OK')	text/css	etag:%22584172b2-1c6%22	http://balkon.kwst.net/site/light/css/yourstyle.css	C:/My%20Web%20Sites/project-slideshow/balkon.kwst.net/site/light/css/yourstyle.css	(from http://balkon.kwst.net/site/light/index4.html)
15:28:37	318/318	---M--	200	added ('OK')	image/x-icon	etag:%2258284e96-13e%22	http://balkon.kwst.net/site/light/images/favicon.ico	C:/My%20Web%20Sites/project-slideshow/balkon.kwst.net/site/light/images/favicon.ico	(from http://balkon.kwst.net/site/light/index4.html)
15:28:38	39170/39170	---MCZ	200	added ('OK')	text/html	etag:W/%225953a9f2-9902%22	http://balkon.kwst.net/site/light/index.html	C:/My%20Web%20Sites/project-slideshow/balkon.kwst.net/site/light/index.html	(from http://balkon.kwst.net/site/light/index4.html)
15:28:38	5355/5355	---M--	200	added ('OK')	image/png	etag:%225952698e-14eb%22	http://balkon.kwst.net/site/light/images/logo.png	C:/My%20Web%20Sites/project-slideshow/balkon.kwst.net/site/light/images/logo.png	(from http://balkon.kwst.net/site/light/index4.html)
15:28:38	2605/2605	---M--	200	added ('OK')	image/png	etag:%2258fdc9c2-a2d%22	http://balkon.kwst.net/site/light/images/share.png	C:/My%20Web%20Sites/project-slideshow/balkon.kwst.net/site/light/images/share.png	(from http://balkon.kwst.net/site/light/index4.html)
15:28:39	32726/32726	---MCZ	200	added ('OK')	text/html	etag:W/%225953a9ee-7fd6%22	http://balkon.kwst.net/site/light/index2.html	C:/My%20Web%20Sites/project-slideshow/balkon.kwst.net/site/light/index2.html	(from http://balkon.kwst.net/site/light/index4.html)
